trinca,sequencia_qtd,sequencia_pct,salto_qtd,salto_pct,total_concursos,sequencia_teorica_pct,salto_teorico_pct
"01,02,03",742,19.91,185,4.96,3727,19.7826,5.2174
"02,03,04",752,20.18,201,5.39,3727,19.7826,5.2174
"03,04,05",744,19.96,193,5.18,3727,19.7826,5.2174
"04,05,06",727,19.51,198,5.31,3727,19.7826,5.2174
"05,06,07",688,18.46,211,5.66,3727,19.7826,5.2174
"06,07,08",672,18.03,203,5.45,3727,19.7826,5.2174
"07,08,09",688,18.46,211,5.66,3727,19.7826,5.2174
"08,09,10",752,20.18,210,5.63,3727,19.7826,5.2174
"09,10,11",791,21.22,177,4.75,3727,19.7826,5.2174
"10,11,12",793,21.28,176,4.72,3727,19.7826,5.2174
"11,12,13",746,20.02,174,4.67,3727,19.7826,5.2174
"12,13,14",729,19.56,158,4.24,3727,19.7826,5.2174
"13,14,15",737,19.77,207,5.55,3727,19.7826,5.2174
"14,15,16",713,19.13,217,5.82,3727,19.7826,5.2174
"15,16,17",653,17.52,200,5.37,3727,19.7826,5.2174
"16,17,18",655,17.57,217,5.82,3727,19.7826,5.2174
"17,18,19",723,19.4,192,5.15,3727,19.7826,5.2174
"18,19,20",767,20.58,203,5.45,3727,19.7826,5.2174
"19,20,21",770,20.66,196,5.26,3727,19.7826,5.2174
"20,21,22",734,19.69,194,5.21,3727,19.7826,5.2174
"21,22,23",694,18.62,184,4.94,3727,19.7826,5.2174
"22,23,24",716,19.21,212,5.69,3727,19.7826,5.2174
"23,24,25",778,20.87,184,4.94,3727,19.7826,5.2174
